source,target,prediction
Andreas A. Veglis,Georgios I. Papadimitriou,P
Athena Vakali,Georgios I. Papadimitriou,P
John D. Lee,Georgios I. Papadimitriou,N
Chih-Chou Chiu,Georgios I. Papadimitriou,N
Marilena Mitrouli,Georgios I. Papadimitriou,N
Claudio Melchiorri,Georgios Paliouras,N
Jean-Claude Falmagne,Georgios Paliouras,N
Sheng-Fuu Lin,Georgios Pavlides,N
Ronald I. Greenberg,Georgios Pavlides,N
Gang George Yin,Georgios Tziritas,N
Vyacheslav M. Abramov,Georgios Tziritas,N
Dolores Romero Morales,Georgios Tziritas,N
Peter Pulay,Geppino Pucci,N
Avishai Mandelbaum,Ger Koole,P
Zhen Liu,Ger Koole,P
Benoit M. Macq,Ger Koole,N
David N. Card,Ger Koole,N
Wei Huang,Ger Koole,N
Christian Fremuth-Paeger,Ger Koole,N
Ari Juels,Gerald L. Kovacich,N
Don S. Batory,Gerald L. Kovacich,N
Jamshid Beheshti,Gerald L. Kovacich,N
Ratnesh Kumar 0001,Gerald L. Kovacich,N
James A. Smith,Gerald L. Kovacich,N
Michael Mendler,Gerald Lüttgen,P
Heinrich Meyr,Gerald Lüttgen,N
Angelo Gilio,Gerald Lüttgen,N
Farzan Nadim,Gerald Lüttgen,N
M. Carmen Martín,Gerald Lüttgen,N
Andrew G. Barto,Gerald Pfeifer,N
Anand R. Tripathi,Gerald Pfeifer,N
Takanori Shibata,Gerald Pfeifer,N
Kenneth C. Jezek,Gerald Post,N
R. Gregory Taylor,Gerald Post,N
Josef Pauli,Gerald Sommer,P
Konstantinos Daniilidis,Gerald Sommer,P
John W. Fowler,Gerald T. Mackulak,P
Jens Gustedt,Gerald T. Mackulak,N
Igor Kharitonenko,Gerald T. Mackulak,N
Greg Welch,Gerald T. Mackulak,N
Bruce H. McCormick,Gerald T. Mackulak,N
Markos Papageorgiou,Gerard C. M. Meijer,N
Bill N. Schilit,Gerard Hooghiemstra,N
Andrzej Rucinski 0001,Gerard Hooghiemstra,N
Li-Da Tong,Gerard J. Chang,P
Yannis Manoussakis,Gerard J. Chang,P
Stefano Leonardi,Gerard J. Chang,N
Xindong Wu 0001,Gerard J. Chang,N
Gio Wiederhold,Gerard van der Laan,N
Wendell D. Jones,Gerardine DeSanctis,N
Jean Néraud,Gerardine DeSanctis,N
Gerardo Casazza,Gerardo Canfora,P
Kurt Geihs,Gerardo Canfora,N
Mikhail V. Solodov,Gerardo Canfora,N
Soonhoi Ha,Gerardo Canfora,N
Monika Rauch Henzinger,Gerardo Canfora,N
Akinori Abe,Gerardo Canfora,N
Johan van Benthem,Gerardo Canfora,N
Ian F. Akyildiz,Gerardo Canfora,N
Luca Fanucci,Gerardo Canfora,N
Andrea De Lucia,Gerardo Casazza,P
Lance Fortnow,Gerardo Casazza,N
Don S. Batory,Gerardo Casazza,N
Jeroen J. G. van Merriënboer,Gerardo Rubino,N
Peter Damaschke,Gerardo Rubino,N
Henrik Hulgaard,Gerd Behrmann,P
Henrik Reif Andersen,Gerd Behrmann,P
Kim Guldstrand Larsen,Gerd Behrmann,P
José Santos-Victor,Gerd Behrmann,N
David Rappaport,Gerd Behrmann,N
Shu-Yuan Chen,Gerd Hirzinger,N
James Odell,Gerd Hirzinger,N
Huib de Ridder,Gerd Hirzinger,N
Henry C. W. Lau,Gerd Hirzinger,N
Marcos D. Katz,Gerd Kunert,N
Frithjof Kruggel,Gerd Kunert,N
Edward Seidel,Gerd Lanfermann,P
Hans-Christian Hege,Gerd Lanfermann,P
John Shalf,Gerd Lanfermann,P
Thomas Radke,Gerd Lanfermann,P
Kunikatsu Takase,Gerd Vandersteen,N
Yukio Shibata,Gerd Vandersteen,N
Edith Hemaspaandra,Gerd Wechsung,P
Silvano Martello,Gerd Wechsung,N
Yuan Wang,Gerd Wechsung,N
Jun Gu,Gerd Wechsung,N
Harry M. Sneed,Gerd Wechsung,N
Jan Ramon,Gerda Janssens,P
Peter Ross,Gerda Janssens,P
Dov Wulich,Gerda Janssens,N
S. Selvakumar,Gerda Janssens,N
Shunsuke Uemura,Gerhard Bauch,N
John J. Borking,Gerhard Bauch,N
Inman P. de Guzmán,Gerhard Brewka,P
Thomas Kämpke,Gerhard Brewka,N
Youyi Feng,Gerhard Brewka,N
Mübeccel Demirekler,Gerhard Brewka,N
Gábor N. Sárközy,Gerhard Fischer,N
Olof Heden,Gerhard Fischer,N
Nicholas F. Maxemchuk,Gerhard Fischer,N
Jenö Lehel,Gerhard Fischer,N
Alexander I. Barvinok,Gerhard J. Woeginger,P
Alfred J. van der Poorten,Gerhard J. Woeginger,P
Arie Tamir,Gerhard J. Woeginger,P
Christoph Dürr,Gerhard J. Woeginger,P
David S. Johnson,Gerhard J. Woeginger,P
Denis Trystram,Gerhard J. Woeginger,P
Fedor V. Fomin,Gerhard J. Woeginger,P
Hajo Broersma,Gerhard J. Woeginger,P
Jaroslav Nesetril,Gerhard J. Woeginger,P
John Noga,Gerhard J. Woeginger,P
Marek Chrobak,Gerhard J. Woeginger,P
Moshe Zukerman,Gerhard J. Woeginger,P
Klaus Lenk,Gerhard J. Woeginger,N
James A. Bucklew,Gerhard J. Woeginger,N
Christos Douligeris,Gerhard Jäger,N
Luca Facheris,Gerhard Jäger,N
Jun Ota,Gerhard Jäger,N
Helen M. Edwards,Gerhard K. Kraetzschmar,N
Monique Snoeck,Gerhard K. Kraetzschmar,N
David Garlan,Gerhard K. Kraetzschmar,N
Marilena Mitrouli,Gerhard P. Fettweis,N
Masafumi Yamashita,Gerhard P. Fettweis,N
Yeng Chai Soh,Gerhard P. Fettweis,N
Annamalai Annamalai,Gerhard Schellhorn,N
Ferucio Laurentiu Tiplea,Gerhard Schellhorn,N
Huibert Kwakernaak,Gerhard Sorger,N
Simon K. Warfield,Gerhard Sorger,N
Joseph Horowitz,Gerhard Sorger,N
Peter G. Neumann,Gerhard Staude,N
Vesper Owei,Gerhard Staude,N
Frank Werner 0001,Gerhard Staude,N
Serge A. Hazout,Gerhard Staude,N
Takanori Shibata,Gerhard Tröster,N
Pravin Varaiya,Gerhard Tröster,N
Paul F. M. J. Verschure,Gerhard Tröster,N
Igor V. Evstigneev,Gerhard Weikum,N
Mourad Oussalah 0002,Gerhard Weikum,N
Mattias Svanström,Gerhard Weikum,N
Hongtao Wu,Geri Gay,N
Hans Hagen,Gerik Scheuermann,P
Sneha Kumar Kasera,Gerik Scheuermann,N
Qiaoming Han,Gerik Scheuermann,N
M. Narasimha Murty,Gerik Scheuermann,N
Jamal Daafouz,Germain Garcia,P
Dimiter R. Avresky,Germain Garcia,N
Michael J. Holst,Germain Garcia,N
Marco Schaerf,Germain Garcia,N
Jianfei Cai,Germán Sáez,N
R. Radhakrishna Pillai,Germán Sáez,N
Tetsushi Koide,Germán Sáez,N
Lionel Seinturier,Germán Sáez,N
Gang Bao,Germán Sáez,N
Olof Heden,Germán Sáez,N
Tadashi Sakamoto,Germán Vidal,N
Viatcheslav P. Grishukhin,Gerrit Schüürmann,N
Sanpei Kageyama,Gerrit Schüürmann,N
James C. Bezdek,Gerrit Schüürmann,N
Robin Thomas 0001,Gerrit Schüürmann,N
Jirí Sgall,Gerrit Schüürmann,N
Dan C. Marinescu,Gerrit Schüürmann,N
George J. Klir,Gerrit Schüürmann,N
Rudolf Mathon,Gerry Kelleher,N
Natarajan Gautam,Gerry Kelleher,N
Zoran Obradovic,Gerry Kelleher,N
Hujun Bao,Gerry Kelleher,N
Ehud Rivlin,Gershon Elber,P
H. T. Banks,Gershon Elber,N
Huan Liu 0001,Gershon Elber,N
Thomas Lukasiewicz,Gershon Elber,N
Tor Arne Johansen,Gershon Elber,N
Giorgio P. Faconti,Gert De Cooman,N
Umberto Pogliano,Gert De Cooman,N
Kurt Rothermel,Gert De Cooman,N
Dirk Roose,Gert De Cooman,N
Robert M. Davison,Gert-Jan de Vreede,P
Peter Pirsch,Gerta Rücker,N
Yao-Wen Tsai,Gerta Rücker,N
Soumen Chakrabarti,Gethin Norman,N
Tai-Kuo Woo,Gethin Norman,N
Kenneth W. Boyer Jr.,Gethin Norman,N
Julie A. Jacko,Gethin Norman,N
Karl Meerbergen,Gethin Norman,N
Teresa Bernarda Ludermir,Geyong Min,N
Sophie Tarbouriech,Geyong Min,N
Cynthia Brandt,Geyong Min,N
Tom E. Simos,Geyong Min,N
Alfonso Rodríguez-Patón,Gheorghe Paun,P
Rusins Freivalds,Gheorghe Paun,P
Satoshi Kobayashi,Gheorghe Paun,P
Walter Unger,Gheorghe Paun,P
Gianluca Antonelli,Gheorghe Paun,N
Eric S. Strother,Gheorghe Paun,N
William Turin,Gholamreza B. Khosrovshahi,N
Chuang Gu,Gholamreza B. Khosrovshahi,N
Timothy C. Craven,Gholamreza B. Khosrovshahi,N
Daniel W. C. Ho,Gholamreza Torkzadeh,N
Gilbert Laporte,Gholamreza Torkzadeh,N
James W. Cortada,Gi-Hong Im,N
Athanassios Tzouvaras,Gi-Hong Im,N
Thyagarajan Nandagopal,Gi-Hong Im,N
Maurizio Vincini,Giacomo Cabri,P
Sonia Bergamaschi,Giacomo Cabri,P
Yeh Lam,Giacomo Cabri,N
Mark S. Shephard,Giacomo Cabri,N
Chia-Tai Chan,Giacomo Indiveri,N
Catherine Rosenberg,Giacomo Morabito,P
Giovanni Schembra,Giacomo Morabito,P
Sergio Palazzo,Giacomo Morabito,P
Tomaz Slivnik,Giacomo Morabito,N
Naraig Manjikian,Gian Luca Foresti,N
Atsushi Igarashi,Gian Luca Foresti,N
Rik Van de Walle,Gian Luca Foresti,N
Antonio Brogi,Gian Luigi Ferrari,P
J. J. L. Velázquez,Gian Luigi Ferrari,N
Alan F. Smeaton,Gian Luigi Ferrari,N
Gerhard Jäger,Gian Luigi Ferrari,N
Theodore A. Slaman,Gian Pietro Picco,N
Oleg Pikhurko,Gian Pietro Picco,N
Monique Laurent,Giancarlo Ferrari-Trecate,N
Ernesto Damiani,Giancarlo Ferrari-Trecate,N
Adrian Dale,Giancarlo Ferrari-Trecate,N
Hiroshi Umeo,Giancarlo Mauri,P
Roberto Serra,Giancarlo Mauri,P
Witold Pedrycz,Giancarlo Succi,P
Marco Conti,Giancarlo Succi,N
Andrea Monti Guarnieri,Gianfranco Fornaro,P
Phillip Rogaway,Gianfranco Fornaro,N
Wolfgang Stadje,Gianfranco Fornaro,N
Arvin Agah,Gianfranco Fornaro,N
Robin R. Murphy,Gianfranco Fornaro,N
Yi Pan 0001,Gianfranco Rossi,N
Pedro Isasi,Gianfranco Rossi,N
Nilanjan Sarkar,Gianluca Antonelli,P
Stefano Chiaverini,Gianluca Antonelli,P
N. J. A. Sloane,Gianluca Antonelli,N
George A. Papadopoulos,Gianluca Antonelli,N
Mike Morrison,Gianluca Antonelli,N
Jin Young Choi,Gianluca Cena,N
Hans Reijnierse,Gianluca Cena,N
Giancarlo Mauri,Gianluca Della Vedova,P
Paola Bonizzoni,Gianluca Della Vedova,P
Barry W. Johnson,Gianluca Della Vedova,N
Hongnian Yu,Gianluca Della Vedova,N
John-Jules Ch. Meyer,Gianluca Della Vedova,N
Umberto Amato,Gianluca Della Vedova,N
Cesare Svelto,Gianluca Galzerano,P
Elio Bava,Gianluca Galzerano,P
Luca Callegaro,Gianluca Galzerano,P
Donald Sannella,Gianluca Reali,N
Luigi Cinque,Gianluigi Ciocca,P
Raimondo Schettini,Gianluigi Ciocca,P
Stefano Levialdi,Gianluigi Ciocca,P
Zhenya He,Gianluigi Ciocca,N
Keshab K. Parhi,Gianluigi Ciocca,N
Herbert S. Wilf,Gianluigi Ciocca,N
Ying-Dar Lin,Gianluigi Ciocca,N
Riccardo Raheli,Gianluigi Ferrari,P
Gianluca Reali,Gianluigi Ferrari,N
Jean-Christophe Novelli,Gianluigi Ferrari,N
Inmaculada García,Gianluigi Ferrari,N
Heikki Mannila,Gianluigi Zavattaro,N
Tetsuya Ishikawa,Gianluigi Zavattaro,N
Eunice E. Santos,Gianna M. Del Corso,N
Robert Veroff,Gianna M. Del Corso,N
Michael S. Hsiao,Gianna M. Del Corso,N
Luis Boza,Gianni Vernazza,N
Adrian Friday,Gianni Vernazza,N
Guanghan Xu,Gianni Vernazza,N
Wei-Ying Ma,Gianpaolo Evangelista,N
Angela Goh,Gianpaolo Evangelista,N
Haruki Nakamura,Gianpaolo Ghiani,N
Leandros Tassiulas,Gianpaolo Ghiani,N
Masoumeh Nasiri-Kenari,Gianpaolo Ghiani,N
Javier Larrosa,Gianpaolo Ghiani,N
Michael Winter,Gianpaolo Pulcini,N
Paolo Merialdo,Giansalvatore Mecca,P
Kiyoshi Hosono,Giansalvatore Mecca,N
Qiang Shen,Giansalvatore Mecca,N
Amir Karniel,Gideon F. Inbar,P
Ron Meir,Gideon F. Inbar,P
Xingxing Yu,Gideon F. Inbar,N
Jérôme Euzenat,Gideon F. Inbar,N
Geert Van der Plas,Gigliola Vaglini,N
C. L. Liu 0001,Gigliola Vaglini,N
Pantelimon Stanica,Gilbert Cockton,N
Marianne Winslett,Gilbert Cockton,N
Peter Che Bor Lam,Gilbert Held,N
Gennaro Improta,Gilbert Laporte,P
Jean-Marie Bourjolly,Gilbert Laporte,P
Juan A. Mesa,Gilbert Laporte,P
Chun-Hung Chen,Gilbert Laporte,N
Lucas Jódar,Gilbert Strang,N
Tomohiro Yoneda,Gilbert Strang,N
Ichiro Masaki,Gilbert Strang,N
Giorgio Ghelli,Gilbert Strang,N
Jean-Marie Bourjolly,Gilbert Strang,N
Javier Larrosa,Gilberto Câmara,N
Gerard J. Foschini,Gilberto Câmara,N
Zheng Rong Yang,Gilberto Câmara,N
Hanoch Lev-Ari,Gilead Tadmor,P
Michael Rathjen,Giles Richardson,N
Christopher A. Welty,Giles Richardson,N
Karama Kanoun,Giles Richardson,N
Mohammad S. Obaidat,Gill A. Pratt,N
Jack Snoeyink,Gill Barequet,P
Sariel Har-Peled,Gill Barequet,P
Hanah Margalit,Gill Bejerano,P
Naftali Tishby,Gill Bejerano,P
Qinghua Li,Gill Bejerano,N
M. E. Kabay,Gill Bejerano,N
Giuseppe Iannaccone,Gill Bejerano,N
Jonathan Lawry,Gilles Adda,N
A. C. Cem Say,Gilles Adda,N
Pawel Hitczenko,Gilles Barthe,N
Harry Leib,Gilles Barthe,N
Klara Kedem,Gilles Barthe,N
Nick McKeown,Gilles Bertrand 0001,N
Alcherio Martinoli,Gilles Bertrand 0001,N
Thomas Erickson,Gilles Bertrand 0001,N
Tal Malkin,Gilles Bertrand 0001,N
Guantao Chen,Gilles Bertrand 0001,N
Jean-Marie Bourjolly,Gilles Pesant,P
Bernard C. Levy,Gilles Pesant,N
Matthias Schröder 0001,Gilles Pesant,N
Piero Mussio,Gilles Savard,N
Alan H. Strahler,Gilles Savard,N
Marko Petkovsek,Gilles Savard,N
Alexander Golbraikh,Gilles Savard,N
Lyndon Ong,Gilles Schaeffer,N
Feng Liang,Gilles Schaeffer,N
Jean Pierre Delmas,Gilles Zémor,N
Paola Bonizzoni,Gilles Zémor,N
Byung Soo Moon,Gilles Zémor,N
Gregory Walsh,Gilly Salmon,N
Thomas Stricker,Gin-Der Wu,N
Allen S. Lee,Gin-Der Wu,N
Onésimo Hernández-Lerma,Gin-Der Wu,N
Atsushi Igarashi,Gio Wiederhold,N
Ed J. Rinia,Gio Wiederhold,N
Shaohua Tan,Gio Wiederhold,N
Amol Dattatraya Mali,Gio Wiederhold,N
Daniel E. Miller,Gio Wiederhold,N
Steven M. LaValle,Giora Slutzki,P
Luciano Lavagno,Giora Slutzki,N
Jianwei Zhang 0001,Giora Slutzki,N
Dingwei Wang,Giora Slutzki,N
Maurizio Talamo,Giorgio Ausiello,P
Athanasia Pouloudi,Giorgio Ausiello,N
Bin Yao,Giorgio Ausiello,N
Heikki Mannila,Giorgio Bartolini,N
Johan H. C. Reiber,Giorgio Bartolini,N
Axel Klar,Giorgio Bartolini,N
Zikuan Liu,Giorgio Bartolini,N
Giuseppe Lipari,Giorgio C. Buttazzo,P
Marsha Chechik,Giorgio C. Buttazzo,N
Daniela Panno,Giorgio C. Buttazzo,N
Michael Zibulevsky,Giorgio C. Buttazzo,N
Tetsuo Asano,Giorgio C. Buttazzo,N
Maurizio Martelli,Giorgio Delzanno,P
Robert W. Stewart,Giorgio Delzanno,N
Maria Chiara Meo,Giorgio Delzanno,N
Johan P. Hansen,Giorgio Delzanno,N
José del R. Millán,Giorgio Delzanno,N
Phillip N. Azariadis,Giorgio Franceschetti,N
Hiroshi Okuda,Giorgio Gambosi,N
Alexander Kurz 0001,Giorgio Gambosi,N
Wil M. P. van der Aalst,Giorgio Ghelli,N
Donald C. Cox,Giorgio Ghelli,N
Ligang Liu,Giorgio Ghelli,N
Jens B. Schmitt,Giorgio Ghelli,N
Kuo-Chin Fan,Giorgio Giacinto,N
Langford B. White,Giorgio Levi,N
Chengshan Xiao,Giorgio Levi,N
Giorgio Metta,Giorgio Matteo Vitetta,N
Visakan Kadirkamanathan,Giorgio Matteo Vitetta,N
Guantao Chen,Giorgio Matteo Vitetta,N
Gabriele Steidl,Giorgio Metta,N
Lihong V. Wang,Giorgio Metta,N
Piotr Indyk,Giorgio Metta,N
Carroll Morgan,Giorgio Metta,N
Chitta Baral,Giorgio Metta,N
Gavin J. Doherty,Giorgio P. Faconti,P
Andrej Sali,Giorgio P. Faconti,N
Lu Xu,Giorgio P. Faconti,N
Aman Behal,Giorgio P. Faconti,N
Michael G. Paulin,Giorgio P. Faconti,N
Carlos Mosquera,Giorgio Taricco,P
Patric R. J. Östergård,Giorgio Taricco,N
Kaddour Najim,Giorgio Taricco,N
George A. Bekey,Giorgio Taricco,N
Domenico Ursino,Giorgio Terracina,P
Richard Cleve,Giorgio Terracina,N
Ki-Seok Chung,Giorgio Terracina,N
Ioannis Kanellakopoulos,Giorgio Terracina,N
A. Donald Keedwell,Giorgio Terracina,N
Edward A. Wasil,Giorgio Terracina,N
Debasis Mitra 0001,Giorgio Terracina,N
Antonio González Muñoz,Giorgio Terracina,N
Iiro S. Honkala,Giovambattista Ianni,N
A. A. Soliman,Giovambattista Ianni,N
David W. Walker,Giovanni Aloisio,P
Massimo Cafaro,Giovanni Aloisio,P
Omer F. Rana,Giovanni Aloisio,P
Cecilia Mascolo,Giovanni Aloisio,N
Brian L. Hughes,Giovanni Aloisio,N
Maarten van Steen,Giovanni Aloisio,N
Nicolás Marín,Giovanni Aloisio,N
Richard Cole 0001,Giovanni Aloisio,N
Paul P. Wang,Giovanni Aloisio,N
Yuen-Hsien Tseng,Giovanni Aloisio,N
Michael I. Jordan,Giovanni Betta,N
Joseph E. Pasciak,Giovanni Bortolan,N
Michael J. Gans,Giovanni Bortolan,N
Ruei-Chuan Chang,Giovanni Bortolan,N
Guido Montorsi,Giovanni Cancellieri,P
Roberto Garello,Giovanni Cancellieri,P
Sergio Benedetto,Giovanni Cancellieri,P
Axel Jantsch,Giovanni Cancellieri,N
Yike Guo,Giovanni Cancellieri,N
Jianwen Su,Giovanni Cherubini,N
John T. Robinson,Giovanni Cherubini,N
Peter W. Glynn,Giovanni De Micheli,P
Anton J. Kleywegt,Giovanni De Micheli,N
Fang-Wei Fu,Giovanni De Micheli,N
Daniele D. Giusto,Giovanni De Micheli,N
Gianluigi Ferrari,Giovanni Emanuele Corazza,P
Raffaele Giancarlo,Giovanni Emanuele Corazza,N
Peter Damaschke,Giovanni Emanuele Corazza,N
Jean-Pierre Doucet,Giovanni Flammia,N
Greg Henry,Giovanni Giambene,N
George Lawton,Giovanni Lo Faro,N
Judith L. Gersting,Giovanni Lo Faro,N
Theo Gevers,Giovanni Lo Faro,N
Samir Chatterjee,Giovanni Lo Faro,N
Tim J. P. Hubbard,Giovanni Lo Faro,N
Robert F. Harrison,Giovanni Lo Faro,N
Kwang-Ting Cheng,Giovanni Macelloni,N
Shivakant Mishra,Giovanni Macelloni,N
Gianna M. Del Corso,Giovanni Manzini,P
Paolo Ferragina,Giovanni Manzini,P
Da-Zheng Feng,Giovanni Manzini,N
Patrick Pérez,Giovanni Manzini,N
Michael Gschwind,Giovanni Manzini,N
Domenico Prattichizzo,Giovanni Marro,P
Elena Yanovskaya,Giovanni Marro,N
Huai Li,Giovanni Marro,N
Nikitas J. Dimopoulos,Giovanni Marro,N
Beatrice Palano,Giovanni Pighizzini,P
Christian Choffrut,Giovanni Pighizzini,P
Jeffrey Shallit,Giovanni Pighizzini,P
Ming-wei Wang,Giovanni Pighizzini,P
Xian-He Sun,Giovanni Pighizzini,N
Inge Jonassen,Giovanni Pighizzini,N
Jeffrey A. Fessler,Giovanni Pighizzini,N
Nicholas I. M. Gould,Giovanni Pighizzini,N
Marc Daumas,Giovanni Pighizzini,N
Roberto Tamassia,Giovanni Rimassa,N
Hamid Aghvami,Giovanni Rimassa,N
André Barbé,Giovanni Rimassa,N
Guojun Lu,Giovanni Schembra,N
Tung-Shou Chen,Giovanni Soda,N
Chang-Su Kim,Giovanni Soda,N
Benar Fux Svaiter,Giovanni Soda,N
Miranda van Uitert,Giovanni Sparacino,N
Yanda Li,Giovanni Sparacino,N
J. Anthony Rossiter,Giovanni Zappa,P
Jan Flusser,Giovanni Zappa,N
Anthony Bonato,Giovanni Zappa,N
Tal Arbel,Giovanni Zappa,N
Binay K. Bhattacharya,Giri Narasimhan,P
Christos Levcopoulos,Giri Narasimhan,P
Joachim Gudmundsson,Giri Narasimhan,P
Martin Zachariasen,Giri Narasimhan,P
Renzo Sprugnoli,Giri Narasimhan,N
Anne Goulding,Giri Narasimhan,N
Andrei Jorza,Giri Narasimhan,N
Hiroaki Nishi,Giridhar D. Mandyam,N
Kwang Bok Lee,Giridhar D. Mandyam,N
A. A. Soliman,Giridhar D. Mandyam,N
Desmond Germans,Giridhar D. Mandyam,N
Terry S. Griggs,Girish Ganesan,N
Xusheng Wang,Girish Ganesan,N
Yu-Chen Hu,Girish Ganesan,N
Pierre L'Ecuyer,Girish Ganesan,N
Wolfgang Emmerich,Girish H. Subramanian,N
Robert J. Vokurka,Girish H. Subramanian,N
Toyoaki Nishida,Girish H. Subramanian,N
Jaap van Oosten,Girish H. Subramanian,N
Sandi Klavzar,Girish Keshav Palshikar,N
Jin Akiyama,Gisaku Nakamura,P
Thomas Streicher,Gisaku Nakamura,N
Jong-Wuu Wu,Gisaku Nakamura,N
Harry Hochheiser,Giulianella Coletti,N
Laurent Moccozet,Giulianella Coletti,N
Werner Damm,Giulianella Coletti,N
Andrea De Lucia,Giuliano Antoniol,P
Gerardo Canfora,Giuliano Antoniol,P
Gerardo Casazza,Giuliano Antoniol,P
Les A. Piegl,Giuliano Antoniol,N
Igor Walukiewicz,Giuliano Antoniol,N
Evelyn Camon,Giuliano Antoniol,N
Perry Y. Li,Giuliano Benelli,N
Edoardo Mosca,Giuliano Benelli,N
Masanori Idesawa,Giuliano Benelli,N
Gianluigi Ferrari,Giulio Colavolpe,P
Barry Smith 0001,Giulio Colavolpe,N
Md Nasir Sulaiman,Giulio Colavolpe,N
Lucas J. van Vliet,Giulio Colavolpe,N
Terry Anthony Byrd,Giulio Sandini,N
Michael T. Pich,Giulio Sandini,N
Alberto Bartoli,Giuseppe Anastasi,P
Antonella Santone,Giuseppe Anastasi,P
Nicoletta De Francesco,Giuseppe Anastasi,P
Sebastiano Vigna,Giuseppe Anastasi,N
Maarten van Steen,Giuseppe Anastasi,N
Pradip K. Srimani,Giuseppe Ateniese,N
Tatsuo Nakajima,Giuseppe Ateniese,N
Tzung-Shi Chen,Giuseppe Ateniese,N
Paul P. Wang,Giuseppe Ateniese,N
Nicola Blefari-Melazzi,Giuseppe Bianchi 0001,P
Ana María Moreno 0001,Giuseppe Bianchi 0001,N
Zhao Zhang,Giuseppe Bianchi 0001,N
Stephen G. Kobourov,Giuseppe Bianchi 0001,N
Chi-Feng Wu,Giuseppe Bianchi 0001,N
Etienne de Klerk,Giuseppe Bianchi 0001,N
Shmuel Onn,Giuseppe Bianchi 0001,N
Sunan Huang 0001,Giuseppe Bianchi 0001,N
Gábor N. Sárközy,Giuseppe Bianchi 0001,N
Myrna Holtz Wooders,Giuseppe Bianchi 0001,N
Richard G. Mathieu,Giuseppe Bianchi 0001,N
Arif Ghafoor,Giuseppe Boccignone,N
Georgios B. Giannakis,Giuseppe C. Calafiore,N
Martti Juhola,Giuseppe C. Calafiore,N
Enzo Mingozzi,Giuseppe C. Calafiore,N
Bixio Rimoldi,Giuseppe Caire,P
Giovanni Emanuele Corazza,Giuseppe Caire,P
Joseph Boutros,Giuseppe Caire,P
Spyros Theoharis,Giuseppe Caire,N
Thompson S. H. Teo,Giuseppe Carlo Calafiore,N
Bruce H. McCormick,Giuseppe Carlo Calafiore,N
Christoph Schwindt,Giuseppe Carlo Calafiore,N
Limin Xiang,Giuseppe Carlo Calafiore,N
Falai Chen,Giuseppe Carlo Calafiore,N
Gang Chen,Giuseppe Castagna,P
Jos A. M. Potters,Giuseppe Castagna,N
Michael D. Plummer,Giuseppe Castagna,N
Moshe Y. Vardi,Giuseppe De Giacomo,P
Micah Adler,Giuseppe De Giacomo,N
Colin Atkinson 0001,Giuseppe De Giacomo,N
Yu Hen Hu,Giuseppe De Giacomo,N
Florian A. Potra,Giuseppe De Giacomo,N
Arie Yeredor,Giuseppe De Giacomo,N
Fairouz Kamareddine,Giuseppe De Nicolao,N
David Peleg,Giuseppe De Nicolao,N
Chaouki T. Abdallah,Giuseppe Di Battista,N
Lefteris Angelis,Giuseppe Di Battista,N
Huitang Chen,Giuseppe Di Battista,N
Camil Demetrescu,Giuseppe F. Italiano,P
Robert Fourer,Giuseppe F. Italiano,N
Miodrag Potkonjak,Giuseppe F. Italiano,N
Shen-Fu Hsiao,Giuseppe Iannaccone,N
Dolors Royo,Giuseppe Iazeolla,N
Mark S. Pinsker,Giuseppe Iazeolla,N
A. C. Cem Say,Giuseppe Iazeolla,N
Andrei Korobeinikov,Giuseppe Iazeolla,N
Louise E. Moser,Giuseppe Iazeolla,N
Ananda Mitra,Giuseppe Lancia,N
Alexander S. Kechris,Giuseppe Lancia,N
Riccardo Barbieri,Giuseppe Lancia,N
Dominik R. Dersch,Giuseppe Lancia,N
Thomas Röfer,Giuseppe Lipari,N
Iakovos S. Venieris,Giuseppe Lipari,N
Dinesh K. Pai,Giuseppe Lipari,N
Paul A. Fishwick,Giuseppe Lipari,N
Carlo Galimberti,Giuseppe Mantovani,P
Cristina Botella,Giuseppe Mantovani,P
Enrico Molinari,Giuseppe Mantovani,P
Mariano Alcañiz Raya,Giuseppe Mantovani,P
Monica Bacchetta,Giuseppe Mantovani,P
Leonid Libkin,Giuseppe Mantovani,N
Sanming Zhou,Giuseppe Mantovani,N
Gradimir V. Milovanovic,Giuseppe Mastroianni,P
Pamela C. Cosman,Giuseppe Mastroianni,N
Barbara Unger 0001,Giuseppe Oriolo,N
Avishai Wool,Giuseppe Oriolo,N
Arjen van Ooyen,Giuseppe Oriolo,N
Anita Schöbel,Giuseppe Orlando,N
Seog Park,Giuseppe Orlando,N
Péter Kacsuk,Giuseppe Orlando,N
J. Edward Colgate,Giuseppe Pirillo,N
Hamid Krim,Giuseppe Pirillo,N
Jeremy H. Wright,Giuseppe Riccardi,P
Ah Chung Tsoi,Giuseppe Riccardi,N
Arnold W. M. Smeulders,Giuseppe Riccardi,N
Betty H. C. Cheng,Giuseppe Riccardi,N
Antonio De Maio,Giuseppe Ricci,P
Ernesto Conte,Giuseppe Ricci,P
Flavio Licciulli,Giuseppe Ricci,N
Thambipillai Srikanthan,Giuseppe Ricci,N
Cristina Botella,Giuseppe Riva,P
Mariano Alcañiz Raya,Giuseppe Riva,P
Mark D. Wiederhold,Giuseppe Riva,P
Yang Xu 0001,Giuseppe Riva,N
K. W. Chung,Giuseppe Riva,N
Marc Gysin,Giuseppe Riva,N
