source,target,prediction
Stefan Volkwein,David Sankoff,N
Takeshi Tokuyama,David Sankoff,N
Takehiro Inohara,David Schmeidler,N
Etienne de Klerk,David Schmeidler,N
Peter Mertens,David Schuff,N
Andreas Antoniou,David Schuff,N
Huaxiong Wang,David Shinar,N
Songde Ma,David Shinar,N
Sherman R. Alpert,David Shinar,N
Marshall K. McKusick,David Shinar,N
Lalit M. Patnaik,David Shinar,N
Geoffrey Pritchard,David Shinar,N
Andreas T. Ernst,David Sier,N
Luis E. Anido-Rifón,David Sier,N
Heinz Wörn,David Sier,N
Paolo Dell'Olmo,David Sier,N
Gerhard Tutz,David Sier,N
Guido Proietti,David Sier,N
Rita Almeida Ribeiro,David Simchi-Levi,N
Naveen Garg 0001,David Simchi-Levi,P
Salil Prabhakar,David Simchi-Levi,N
Monique W. M. Jaspers,David Simchi-Levi,N
Mark A. Sletten,David Simplot,N
Linda R. Petzold,David Simplot,N
Roelof K. Brouwer,David Simplot,N
Jian-Guo Liu,David Simplot,N
Alberto Márquez,David Singer,N
Jen-Yao Chung,David Singer,N
Ari Trachtenberg,David Starobinski,N
Mark G. Karpovsky,David Starobinski,N
Richard G. Baraniuk,David Starobinski,N
Marco Locatelli,David Starobinski,N
Dorin Comaniciu,David Suter,N
Ken-ichi Kanatani,David Suter,N
Thomas A. Manteuffel,David Suter,N
Rogier M. van Eijk,David Suter,N
Jens B. Schmitt,David Suter,N
Antonio Molina,David Suter,N
Gordon Smith,David Suter,N
Wassim M. Haddad,David Suter,N
Nathan Intrator,David Suter,N
Chaitali Chakrabarti,David T. Blaauw,N
Krisztián Flautner,David T. Blaauw,N
Luciano Lavagno,David T. Blaauw,P
Mahmut T. Kandemir,David T. Blaauw,P
Mary Jane Irwin,David T. Blaauw,P
Narayanan Vijaykrishnan,David T. Blaauw,P
Pinaki Mazumder,David T. Blaauw,P
Sarma B. K. Vrudhula,David T. Blaauw,P
Scott A. Mahlke,David T. Blaauw,P
Todd M. Austin,David T. Blaauw,P
Trevor N. Mudge,David T. Blaauw,N
Wayne H. Wolf,David T. Blaauw,N
Moe Z. Win,David T. Blaauw,N
Bin Liu,David T. Blaauw,N
Søren-Aksel Sørensen,David T. Jones,N
William B. Langdon,David T. Jones,N
Gregor Engels,David T. Jones,N
Antonio Frangioni,David T. Jones,N
Omer Reingold,David T. Jones,N
Michael Stonebraker,David T. Jones,N
Foster J. Provost,David T. Jones,N
Lawrence S. Moss,David T. Stanton,N
Xiaoxin Liao,David T. Stanton,N
Panos E. Trahanias,David T. Stanton,N
Marilda Sotomayor,David T. Stanton,N
Hans-Dieter Burkhard,David T. Stanton,N
Kate A. Smith,David Taniar,N
Guilherme Horta Travassos,David Taniar,N
Dimitrios Buhalis,David Taniar,N
Manfred Opper,David Taniar,N
Joan Feigenbaum,David Taniar,N
Calin Popescu,David Taniar,N
Chiranjib Bhattacharyya,David Taniar,N
Gregory F. Cooper,David Taniar,N
Christian Prehofer,David Taylor,N
William I. Grosky,David Taylor,N
Benar Fux Svaiter,David Thaler,N
Jong Beom Ra,David Thaler,N
Lloyd S. Shapley,David Thaler,N
Christian Roux,David V. Anderson,N
Jeanne W. Ross,David V. Anderson,N
Blackford Middleton,David W. Bates,P
George Hripcsak,David W. Bates,P
J. Marc Overhage,David W. Bates,N
Patricia Flatley Brennan,David W. Bates,P
R. Scott Evans,David W. Bates,P
Tejal K. Gandhi,David W. Bates,P
Vimla L. Patel,David W. Bates,P
Mark Harman,David W. Binkley,P
Paolo Tonella,David W. Binkley,N
Sebastian Danicic,David W. Binkley,P
Victor Shoup,David W. Binkley,N
Eric Bach,David W. Binkley,N
Yair Bartal,David W. Binkley,N
Marshall L. Freimer,David W. Binkley,N
Rolf Niedermeier,David W. Binkley,N
Christophe Le Page,David W. Binkley,N
Allan Borodin,David W. Binkley,N
Palash Sarkar 0001,David W. Binkley,N
Steen Rasmussen,David W. Binkley,N
Sheshayya A. Choudum,David W. Chadwick,N
Vladimir Kanovei,David W. Chadwick,N
Paolo Frasconi,David W. Chadwick,N
Timothy Clark,David W. Chadwick,N
Zhensheng Zhang,David W. Chadwick,N
Kei-Hoi Cheung,David W. Cheung,N
T. Yung Kong,David W. Cheung,N
Jane You,David W. Coit,N
JooSeok Song,David W. Griffith,N
Kenneth I. Joy,David W. Griffith,N
Christian Choffrut,David W. Griffith,N
Hassen A. Muttlak,David W. Griffith,N
Jaime H. Ortega,David W. Jacobs,N
Erik Zenner,David W. Jacobs,N
Ayellet Tal,David W. Jacobs,P
Shinji Ozawa,David W. Jacobs,N
Jixiang Meng,David W. Mauro,N
Burkhard Morgenstern,David W. Mauro,N
Keith I. Farkas,David W. Murray,N
Ghulam M. Chaudhry,David W. Murray,N
Alexei D. Miasnikov,David W. Murray,N
Peter Kabal,David W. Murray,N
Geoffrey C. Fox,David W. Walker,P
Gregor von Laszewski,David W. Walker,P
Maozhen Li,David W. Walker,P
Yan Huang 0005,David W. Walker,N
Yin-Fu Huang,David W. Walker,N
Ke Liu,David W. Walker,N
Martin Margala,David W. Walker,N
Robert Harper 0001,David Walker,P
Maarten Steinbuch,David Walker,N
Mile K. Stojcev,David Walker,N
Gaetano Borriello,David Wetherall,P
Timothy Roscoe,David Wetherall,N
Ruth C. King,David Wetherall,N
Arnold W. M. Smeulders,David Wetherall,N
Arie Hasman,David Wetherall,N
Sotiris E. Nikoletseas,David Wetherall,N
Evelyne Flandrin,David Wetherall,N
George C. Polyzos,David Wetherall,N
Charles X. Ling,David Wetherall,N
Sing Bing Kang,David Wetherall,N
Alejandro F. Frangi,David Zhang 0001,N
Huanshui Zhang,David Zhang 0001,N
Jane You,David Zhang 0001,N
Jie Zhou,David Zhang 0001,P
Jun Wang,David Zhang 0001,N
Lei Zhang 0006,David Zhang 0001,N
Lihua Xie,David Zhang 0001,P
Pengfei Shi,David Zhang 0001,N
Xiangzhen Qiao,David Zhang 0001,P
Yang Yang,David Zhang 0001,N
Yeng Chai Soh,David Zhang 0001,N
Yuan Yan Tang,David Zhang 0001,P
Zhiyong Liu,David Zhang 0001,P
Hector Garcia-Molina,David Zhang 0001,N
Iasson Karafyllis,Davide Anguita,N
Gary D. Stormo,Davide Anguita,N
Antonis C. Stylianou,Davide Anguita,N
Colin Eden,Davide Anguita,N
Marco Chiani,Davide Dardari,P
Marvin K. Simon,Davide Dardari,N
Mauro Dell'Amico,Davide Dardari,N
Chenming Hu,Davide Dardari,N
Reijo Savolainen,Davide Dardari,N
Chin Lung Lu,Davide Dardari,N
Alan F. Blackwell,Davide Dardari,N
Peter M. Will,Davide Dardari,N
David M. Nicol,Davide Rocchesso,N
Noboru Babaguchi,Davide Rocchesso,N
Ja-Ling Wu,Davide Rocchesso,N
Daniel Hirschkoff,Davide Sangiorgi,N
Arun Viswanathan,Davide Sangiorgi,N
Jiu Ding,Davide Sangiorgi,N
Sachin B. Patkar,Davide Sangiorgi,N
John D. Villasenor,Dawei Hong,N
Panagiotis Tsikouras,Dawei Hong,N
Yuan Yan Tang,Dawei Song 0001,N
Robert W. Zmud,Dawei Song 0001,N
Soh-Khim Ong,Dawei Song 0001,N
Christian Prehofer,Dawei Song 0001,N
Walter J. Freeman,Dawei Song 0001,N
Vijayalakshmi Atluri,Dawna Travis Dewire,N
Mark Rouncefield,Dawna Travis Dewire,N
David A. Bell,Dayou Liu,N
Eshel Ben-Jacob,Dayou Liu,N
Sameer Kumar,Dayou Liu,N
Ville Lappalainen,Dayou Liu,N
Zheru Chi,De-Shuang Huang,N
Anuj Srivastava,DeLiang L. Wang,N
Donald C. Wunsch II,DeLiang L. Wang,N
Eugenio G. Omodeo,DeLiang L. Wang,N
Casimir A. Kulikowski,DeLiang L. Wang,N
Wolfgang Kunz,DeLiang L. Wang,N
Emilio Luque,DeLiang L. Wang,N
Mario Piattini,Deb Roy,N
Richard A. Wysk,Deb Roy,N
Loÿs Thimonier,Debanjan Saha,N
Kostas Pentikousis,Debashis Ghosh,N
Keith D. Paulsen,Debashis Ghosh,N
James A. Bucklew,Debashis Saha,N
Panu Raatikainen,Debashis Saha,N
Panos M. Pardalos,Debashis Saha,N
Mary Sumner,Debasis Kundu,N
Jeffrey M. Voas,Debasis Kundu,N
Indra Widjaja,Debasis Mitra 0001,P
Iraj Saniee,Debasis Mitra 0001,P
Ulrich Pferschy,Debasis Mitra 0001,N
Mauro Dell'Amico,Debasis Mitra 0001,N
Goutam Chakraborty,Debasish Chakraborty,N
Edward G. Coffman Jr.,Debasish Chakraborty,N
Sergio De Agostino,Debasish Chakraborty,N
Rolf Johannesson,Debasish Chakraborty,N
Peter Jeavons,Debasish Chakraborty,N
Myung Jin Chung,Debasish Chakraborty,N
Louis-A. Dessaint,Debasish Chakraborty,N
Rebecca Mercuri,Debasish Dutta,N
Martin Bouchard,Debasish Dutta,N
Gábor E. Tusnády,Debasish Dutta,N
Gary Klein 0001,Debbie B. Tesch,N
Houn-Gee Chen,Debbie B. Tesch,N
James J. Jiang,Debbie B. Tesch,N
William F. Smyth,Debbie B. Tesch,N
Josep Llosa,Debbie Richards,N
Anne Condon,Debbie W. Leung,N
Jürgen Dix,Debbie W. Leung,N
Bruno Torrésani,Debbie W. Leung,N
Nick Craswell,Debbie W. Leung,N
Akira Hiraki,Debbie W. Leung,N
Peter B. Luh,Debbie W. Leung,N
Sheldon H. Jacobson,Debbie W. Leung,N
Faron Moller,Debora Shaw,N
Peter Butkovic,Debora Shaw,N
Mark van den Brand,Debora Shaw,N
J. Gregory Trafton,Deborah A. Boehm-Davis,N
Gábor Korchmáros,Deborah A. Boehm-Davis,N
James Ze Wang,Deborah A. Boehm-Davis,N
William J. Dally,Deborah A. Boehm-Davis,N
Paul Gray,Deborah A. Frincke,N
Kudret Demirli,Deborah A. Frincke,N
Vassilis Assimakopoulos,Deborah A. Frincke,N
Jenn-Huei Lii,Deborah A. Frincke,N
Alvaro Sandroni,Deborah A. Frincke,N
Ji-Ye Mao,Deborah A. Frincke,N
Alberto Cerpa,Deborah Estrin,N
Christos Papadopoulos,Deborah Estrin,N
David E. Culler,Deborah Estrin,P
Kung Yao,Deborah Estrin,N
Yu Hen Hu,Deborah Estrin,N
B. Jack Copeland,Deborah Estrin,N
Noam Tractinsky,Deborah Estrin,N
Marcel Staroswiecki,Deborah Estrin,N
Sven Hartmann,Debra E. VanderMeer,N
Frederick P. Brooks Jr.,Debra E. VanderMeer,N
Vadim Bulitko,Debranjan Sarkar,N
Kenji Kaneko,Debranjan Sarkar,N
Nam Ling,Debranjan Sarkar,N
Xishun Zhao,Decheng Ding,N
Zhang Mingyi,Decheng Ding,N
P. C. Ching,Decheng Ding,N
Diane H. Sonnenwald,Decheng Ding,N
Shiu Kit Tso,Decheng Ding,N
Selina S. Dwight,Deena Larsen,N
Jean-Michel Morel,Deena Larsen,N
Emil M. Petriu,Deena Larsen,N
Evert Jan Baerends,Deena Larsen,N
Ching-Yung Lin,Deepa Kundur,N
Mark Thorson,Deepa Kundur,N
Xiaoqi Yang,Deepa Kundur,N
Kai-Uwe Sattler,Deepa Kundur,N
Michael Patriksson,Deepa Kundur,N
Rajeev R. Raje,Deepa Kundur,N
Laurent Vigneron,Deepak Kapur,P
Yeong-Ho Ha,Deepak Kapur,N
Shihab A. Shamma,Deepak Kapur,N
Brian M. Sadler,Deepak Kapur,N
Adnan Aziz,Deepak Kapur,N
Graham Pervan,Deepinder S. Bajwa,N
Daniel E. Koditschek,Deepinder S. Bajwa,N
Houduo Qi,Defeng Sun,P
Michel Deza,Defeng Sun,N
Alessandro Bogliolo,Defeng Sun,N
Risto Lahdelma,Defeng Sun,N
Anna Bernasconi 0001,Defeng Sun,N
W. Eric L. Grimson,Defeng Sun,N
John N. Chiasson,Deirdre K. Mulligan,N
Inés Couso,Deirdre K. Mulligan,N
Matteo Baldoni,Deirdre K. Mulligan,N
Daizhan Cheng,Dejan S. Milojicic,N
Jong-Lick Lin,Dejan S. Milojicic,N
Teresa Head-Gordon,Delfin Y. Montuno,N
Avrim Blum,Delfin Y. Montuno,N
Roger C. E. Tan,Delin Chu,N
Fuqin Xiong,Delin Chu,N
Jae-Nam Lee,Delin Chu,N
Mohammad S. Obaidat,Delin Chu,N
Irfan-Ullah Awan,Demetres D. Kouvatsos,P
Carmine Landi,Demetres D. Kouvatsos,N
Ola Henfridsson,Demetres D. Kouvatsos,N
Igor Faynberg,Demetres D. Kouvatsos,N
Joaquin Sicilia,Demetres D. Kouvatsos,N
Imre Csiszár,Demetrios G. Sampson,N
GeunSik Jo,Demetrios G. Sampson,N
Pravin Varaiya,Demetrios G. Sampson,N
Heeseok Lee,Demetrios G. Sampson,N
Frederik Maes,Demetrios G. Sampson,N
Nah-Oak Song,Demosthenis Teneketzis,N
Hiroyuki Yotsuyanagi,Demosthenis Teneketzis,N
Tomás Feder,Demosthenis Teneketzis,N
James E. Fowler,Demosthenis Teneketzis,N
Aria Nosratinia,Demosthenis Teneketzis,N
Jian-Bo Yang,Dengfeng Li,N
Óscar Reinoso,Dengfeng Li,N
Frank Eisenhaber,Dengguo Feng,N
Andrew Solomon,Denis Besnard,N
Petros Maragos,Denis Besnard,N
James E. Smith 0003,Denis Borenstein,N
Koji Ito,Denis Borenstein,N
Iasson Karafyllis,Denis Bouyssou,N
Yeheskel Bar-Ness,Denis Bouyssou,N
João P. Marques Silva,Denis Bouyssou,N
Stephen F. McCormick,Denis Dochain,N
Giuseppe Martinelli,Denis Dochain,N
Pierpaolo Degano,Denis Dochain,N
Karem A. Sakallah,Denis Laurendeau,N
Afzel Noore,Denis Laurendeau,N
Takanori Shibata,Denis Laurendeau,N
Thomas M. Liebling,Denis Naddef,N
Massimo Melucci,Denis Naddef,N
James F. Power,Denis Naddef,N
Yuval Shavitt,Denis Naddef,N
Josien P. W. Pluim,Denis Naddef,N
Francis Collino,Denis Naddef,N
Valentina S. Harizanov,Denis Naddef,N
Bakhadyr Khoussainov,Denis R. Hirschfeldt,N
Julia F. Knight,Denis R. Hirschfeldt,N
Richard A. Shore,Denis R. Hirschfeldt,N
Christophe Andrieu,Denis R. Hirschfeldt,N
Giancarlo Mauri,Denis R. Hirschfeldt,N
Yves Bertrand,Denis R. Hirschfeldt,N
Marcello M. Bonsangue,Denis R. Hirschfeldt,N
Leandros Tassiulas,Denis R. Hirschfeldt,N
Reiko Heckel,Denis R. Towill,N
Yasufumi Takama,Denis Thérien,N
Stefan Andrei,Denis Thérien,N
Alfredo Goldman,Denis Trystram,P
Grégory Mounié,Denis Trystram,P
Mikhail Y. Kovalyov,Denis Trystram,P
Dave A. Thomas,Denis Trystram,N
Arthur L. Liestman,Denis Trystram,P
Jason Leigh,Denis Trystram,N
Manfred Droste,Denis Trystram,N
Ad Aertsen,Denis Trystram,N
George Kesidis,Denis Trystram,N
Sóstenes Lins,Denis Trystram,N
Valentin E. Brimkov,Denis Trystram,N
Roberto Natalini,Denise Aregba-Driollet,N
Joachim Denzler,Denise Aregba-Driollet,N
Won-Gi Jeon,Denise Aregba-Driollet,N
Michael H. Albert,Denise Aregba-Driollet,N
David E. Culler,Dennis E. Shasha,P
Sos S. Agaian,Dennis E. Shasha,N
Luís Moniz Pereira,Dennis E. Shasha,N
Ping Zhang 0002,Dennis F. Galletta,N
Peter Mertens,Dennis F. Galletta,N
Vladimir D. Tonchev,Dennis F. Galletta,N
Eric Rogers,Dennis F. Galletta,N
Seong Ki Mun,Dennis F. Galletta,N
Eswaran Subrahmanian,Dennis Goeckel,N
Mehmet Sahinoglu,Dennis Goeckel,N
Antonio Sedeño-Noda,Dennis Goeckel,N
Bernard Huyart,Dennis Goeckel,N
Kenny Q. Ye,Dennis K. J. Lin,N
William Li,Dennis K. J. Lin,N
Lieven Eeckhout,Dennis K. J. Lin,N
Kouichi Sakurai,Dennis K. J. Lin,N
Steven J. Ruuth,Dennis Koelma,N
Sébastien Tixeuil,Dennis Koelma,N
Shih-Chang Hsia,Dennis Koelma,N
Gabriel Wittum,Dennis Koelma,N
Lih-Hsing Hsu,Dennis N. Ocholla,N
Luis M. Camarinha-Matos,Dennis Nicholson,N
Jason Leigh,Dennis R. Morgan,N
Maria A. Stuchly,Dennis R. Morgan,N
James R. Lewis,Dennis R. Morgan,N
Guang-Ming Wu,Dennis R. Morgan,N
Robert Haskins,Dennis S. Bernstein,N
Marco Viceconti,Dennis S. Bernstein,N
Antonín Dvorák,Dennis S. Bernstein,N
Miguel Angel Fiol,Dennis S. Bernstein,N
Pabitra Mitra,Dennis S. Bernstein,N
Robert L. Stevenson,Dennis S. Bernstein,N
Vijay Kumar 0002,Dennis Stanton,N
Kei-Hoi Cheung,Dennis Stanton,N
Rodney G. Downey,Dennis Stanton,N
Andrew B. Kahng,Dennis Sylvester,P
Chenming Hu,Dennis Sylvester,P
David T. Blaauw,Dennis Sylvester,N
Dirk Stroobandt,Dennis Sylvester,P
Igor L. Markov,Dennis Sylvester,P
Tamás Roska,Dennis Sylvester,N
Debanjan Saha,Dennis Sylvester,N
Rolf P. Würtz,Dentcho N. Batanov,N
William E. Hart,Dentcho N. Batanov,N
Ding-Ming Kwai,Denys Chaume,N
Francis E. Kennedy,Denys Chaume,N
Paul K. Wright,Denys Chaume,N
Songchun Moon,Denys Chaume,N
Bernhard Koerber,Denys Chaume,N
Kurt Mehlhorn,Denys Duchier,P
Martin Henz,Denys Duchier,P
Seif Haridi,Denys Duchier,P
Jang-Ping Sheu,Denys Duchier,N
José M. F. Moura,Denys Duchier,N
Carol Stolicny,Denys Duchier,N
Ping Zhao,Denys Duchier,N
Michael Grass,Denys Duchier,N
Jacob A. Abraham,Denys Duchier,N
Enrico Zanoni,Denys Duchier,N
Saeid Nahavandi,Der-Cherng Liaw,N
Enrico Scarso,Der-Cherng Liaw,N
Dmitrii Lozovanu,Der-Chyuan Lou,N
Byung Ro Moon,Der-Chyuan Lou,N
Joseph H. Nadeau,Der-Chyuan Lou,N
Paul C. Xirouchakis,Derek A. Holton,N
Wu-chun Feng,Derek A. Holton,N
Richard Stong,Derek A. Holton,N
Marcio S. de Queiroz,Derek A. Holton,N
Mahdi Mahfouf,Derek A. Linkens,N
Gerhard Roth,Derek F. Holt,N
Massimiliano Pontil,Derek F. Holt,N
Cheng Wang,Derek F. Holt,N
Ekkehard Köhler,Derek G. Corneil,P
Feodor F. Dragan,Derek G. Corneil,P
Gunilla Borgefors,Derek G. Corneil,N
Bo Huang 0001,Derek G. Corneil,N
Igor Walukiewicz,Derek G. Corneil,P
Maneesh Agrawala,Derek G. Corneil,N
Walter Ukovich,Derek G. Corneil,N
Henri E. Bal,Derek L. Eager,N
Assaf Schuster,Derek L. Eager,N
Andrzej Cichocki,Derek L. Eager,N
Gilles Zémor,Derek L. G. Hill,N
Olivier Besson,Derek L. G. Hill,N
Gideon Dror,Derek L. G. Hill,N
Enrique Herrera-Viedma,Derek L. G. Hill,N
Mila Nikolova,Deren Han,N
Alain Oustaloup,Deren Han,N
John Yuan,Deren Han,N
Liang Zhao 0001,Deren Han,N
Theo Gevers,Deren Han,N
D. Petkov,Deren Han,N
Annie I. Antón,Derick Wood,N
Kazuhisa Makino,Derick Wood,P
Olivier Esser,Derick Wood,N
Sanqing Hu,Derong Liu,N
Yi Hu,Derong Liu,N
Francois P. S. Chin,Derong Liu,N
Franco Zappa,Derrick G. Kourie,N
Anusch Taraz,Deryk Osthus,N
Hans Jürgen Prömel,Deryk Osthus,N
Hisao Ishibuchi,Deryk Osthus,N
Robert F. Easley,Deryk Osthus,N
Said Boussakta,Desmond C. McLernon,N
Upamanyu Madhow,Desmond C. McLernon,N
Joel Hass,Desmond P. Taylor,N
Giuseppe F. Italiano,Desmond P. Taylor,N
Rodica Branzei,Desmond P. Taylor,N
Martin D. F. Wong,Detlef Nauck,N
Alessio Carullo,Detlef Nauck,N
Shane Greenstein,Detlef Nauck,N
Vincent K. N. Lau,Detlef Nauck,N
Magdi S. Mahmoud,Detlef Nauck,N
Christof Weinhardt,Detlef Schoder,N
Rina Panigrahy,Detlef Schoder,N
Neal Koblitz,Detlef Schoder,N
Lorin M. Hitt,Detlef Schoder,N
Gregory M. Rose,Detmar W. Straub,N
Sherif Kamel,Detmar W. Straub,N
Ralf Hinze,Detmar W. Straub,N
Asad A. Abidi,Dexter Kozen,N
David Heckerman,Dexter Kozen,N
Lou Caccetta,Dexue Zhang,N
Thomas Bonald,Dexue Zhang,N
Adam A. Porter,Dexue Zhang,N
Jacob Benesty,Dexue Zhang,N
Hong-Jian Lai,Deying Li,N
Jingzhong Mao,Deying Li,P
Lu Ruan 0001,Deying Li,N
Weili Wu,Deying Li,P
Aniruddha S. Gokhale,Deying Li,N
Besma R. Abidi,Deying Li,N
Shree K. Nayar,Dezhao Chen,N
Vijayalakshmi Atluri,Dezhao Chen,N
Scott A. Mahlke,Dezhong Yao,N
Kosta Dosen,Dezhong Yao,N
Rob P. Stevenson,Dezhong Yao,N
William Gropp,Dhabaleswar K. Panda,P
Yurdaer N. Doganata,Dhabaleswar K. Panda,N
Jerzy Tyszer,Dhabaleswar K. Panda,N
Marcus Peinado,Dhabaleswar K. Panda,N
Akira Hirose,Dhabaleswar K. Panda,N
Nael B. Abu-Ghazaleh,Dhananjay S. Phatak,N
Esmeralda Mainar,Dhananjay S. Phatak,N
Noriko Kando,Dhananjay S. Phatak,N
Vijay Kumar,Dharma P. Agrawal,N
Vivek Jain,Dharma P. Agrawal,N
Jenq-Neng Hwang,Dharma P. Agrawal,P
Gerardo I. Sanchez-Ortiz,Dharma P. Agrawal,N
Christopher B. Jones,Dharma P. Agrawal,N
Hideki Sano,Dharmendra S. Modha,N
David H. Wolpert,Dharmendra S. Modha,N
Jacques Verstraëte,Dhruv Mubayi,N
Ian F. Blake,Dhruv Mubayi,N
Stephen Bostock,Dhruv Mubayi,N
Federico Malucelli,Di Yuan,N
Kaj Holmberg,Di Yuan,N
Peter Värbrand,Di Yuan,N
Li Ping 0001,Di Yuan,N
Christer Carlsson,Diana Marculescu,N
Javier Larrosa,Diana Marculescu,N
Paulo Cesar Masiero,Diana Marculescu,N
Jing Zhu,Diane Crawford,N
Stephen L. Casner,Diane Crawford,N
Noriko Hara,Diane H. Sonnenwald,N
Reiner Martin,Diane H. Sonnenwald,N
Mihai Datcu,Diane H. Sonnenwald,N
Francis Chung-Ming Lau,Diane H. Sonnenwald,N
Dong Xuan,Diane J. Cook,N
Hendrik P. A. Lensch,Diane J. Cook,N
Geert Leus,Diane J. Cook,N
David K. Y. Yau,Diane J. Cook,N
Carl D. Crane III,Diane J. Cook,N
Zhi-Li Zhang,Diane Lending,N
Juan de Lara,Diane Lending,N
Abdollah Khodkar,Diane M. Donovan,P
Anne Penfold Street,Diane M. Donovan,P
Charles Vanden Eynden,Diane M. Donovan,P
Chin-Mei Fu,Diane M. Donovan,N
Costas S. Iliopoulos,Diane M. Donovan,N
Mirka Miller,Diane M. Donovan,P
Nicholas J. Cavenagh,Diane M. Donovan,P
Saad El-Zanati,Diane M. Donovan,P
Christos G. Panayiotou,Diane M. Donovan,N
Tatsuya Akutsu,Diane M. Donovan,N
Robert M. Davison,Diane M. Donovan,N
Jeffrey A. Hoffer,Diane M. Strong,N
Monica J. Garfield,Diane M. Strong,N
Yang W. Lee,Diane M. Strong,P
Rüdeger Baumann,Diane M. Strong,N
Bill C. Hardgrave,Dianne P. O'Leary,N
Kent E. Seamons,Dianne P. O'Leary,N
Nicholas W. Jankowski,Dianne P. O'Leary,N
John Yen,Dianxiang Xu,N
Richard A. Volz,Dianxiang Xu,N
Yi Deng,Dianxiang Xu,P
Edgar Körner,Dianxiang Xu,N
Edwin R. van Dam,Dick den Hertog,N
Jack P. C. Kleijnen,Dick den Hertog,N
Geert Leus,Dick den Hertog,N
Ibrahim Matta,Dick den Hertog,N
Janusz Zalewski,Dick den Hertog,N
Ho-fung Leung,Dickson K. W. Chiu,N
Kamalakar Karlapalem,Dickson K. W. Chiu,P
Florence Sèdes,Didier Dubois,P
Laurent Foulloy,Didier Dubois,N
Sébastien Konieczny,Didier Dubois,P
Sylvie Galichet,Didier Dubois,N
Stefan Grimme,Didier Dubois,N
Ryan H. Lilien,Didier Dubois,N
Lishan Kang,Didier Dubois,N
James F. Reed,Didier Dubois,N
Jean B. Lasserre,Didier Henrion,N
Siegfried Selberherr,Didier Henrion,N
Guantao Chen,Didier Henrion,N
Hervé Delingette,Didier Henrion,N
Daniel Mozos,Diederik Verkest,N
Lode Nachtergaele,Diederik Verkest,P
Nicholas Zervos,Diederik Verkest,N
Gurusamy Mohan,Diederik Verkest,N
Yisheng Zhu,Diederik Verkest,N
Ari Paasio,Diego Cabello,N
David López Vilariño,Diego Cabello,P
Kimito Funatsu,Diego Cabello,N
Weiyin Ma,Diego Cabello,N
Xavier Boyen,Diego Calvanese,N
Gianni Vernazza,Diego Calvanese,N
Jayaram K. Udupa,Diego Calvanese,N
Ying-Cheng Lai,Diego Calvanese,N
Michael Gertz,Dieter Baum,N
Gi-Hong Im,Dieter Baum,N
Yoshitsugu Yamamoto,Dieter Baum,N
Michael Krauthammer,Dieter Baum,N
Wolfgang Nejdl,Dieter Baum,N
Gavin C. Cawley,Dieter Baum,N
Leslaw K. Bieniasz,Dieter Baum,N
David López Vilariño,Dieter Baum,N
Enrico Motta,Dieter Fensel,P
Guus Schreiber,Dieter Fensel,P
Kristin F. Kocan,Dieter Fensel,N
Michel Verleysen,Dieter Fox,N
Andrew Boyd,Dieter Fox,N
Maw-Shang Chang,Dieter Fox,N
Joseph P. Noonan,Dieter Hofbauer,N
Yeung Yam,Dieter Hofbauer,N
Joseph A. Thas,Dieter Jungnickel,N
Koenraad De Bosschere,Dieter Kranzlmüller,P
Mark Christiaens,Dieter Kranzlmüller,N
Michiel Ronsse,Dieter Kranzlmüller,P
Péter Kacsuk,Dieter Kranzlmüller,P
Hsiao-Chuan Wang,Dieter Kranzlmüller,N
Yogesh Singh,Dieter Kranzlmüller,N
James F. Geelen,Dieter Kranzlmüller,N
Grégory Mounié,Dieter Kranzlmüller,P
Florentin Ipate,Dieter Kranzlmüller,N
Gérard Hébuterne,Dieter Kratsch,N
Feng-Wen Sun,Dieter Kratsch,N
Robert P. Colwell,Dieter Merkl,N
Edward J. Delp,Dieter Merkl,N
Charles Delorme,Dieter Rautenbach,N
Odile Favaron,Dieter Rautenbach,P
Vadim V. Lozin,Dieter Rautenbach,N
Peter A. Bath,Dieter Rautenbach,N
Amol Deshpande,Dieter Rautenbach,N
Mathias Weske,Dieter Schmalstieg,N
Hidde de Jong,Dieter Schmalstieg,N
Vincenzo Lottici,Dieter Schmalstieg,N
Alan M. Frieze,Dieter W. Fellner,P
Katharina T. Huber,Dietmar Cieslik,N
Robert D. Nowak,Dietmar Cieslik,N
Régis Leveugle,Dietmar F. Rösner,N
Markus Stumptner,Dietmar Jannach,P
Stefan Decker,Dietmar Jannach,N
Gerhard Reinelt,Dietmar Jannach,N
Mauro Barni,Dietmar Jannach,N
Adriano Camps,Dietmar Müller 0001,N
Marios Mavronicolas,Dietmar Müller 0001,N
David Raffo,Dietmar Pfahl,P
Oliver Laitenberger,Dietmar Pfahl,P
Paul Wernick,Dietmar Pfahl,N
Cheng-Lin Liu,Dietmar Pfahl,N
Lutz J. Heinrich,Dietmar Pfahl,N
James G. Nagy,Dietmar Pfahl,N
Jarke J. van Wijk,Dietmar Saupe,N
Ioannis Karafyllidis,Dietmar Saupe,N
Han-Chieh Chao,Dietmar Saupe,N
Edgar Wingender,Dietmar Schomburg,P
Martin Vingron,Dietmar Schomburg,N
Bo Tao Fan,Dietmar Schomburg,N
Ilkka Niemelä,Dietmar Seipel,N
Jürgen Wolff von Gudenberg,Dietmar Seipel,N
Thomas Dandekar,Dietmar Seipel,N
Homa Atabakhsh,Dietmar Seipel,N
